arxiv_id,title,authors,year,published,updated,journal,primary_category,categories,abstract,url,pdf_url,topic,technical_tags,technical_role,relevance,status,ai_rating,human_checked,notes
2002.07251,Significance of Black Hole Quasinormal Modes: A Closer Look,Ramin G. Daghigh; Michael D. Green; Jodin C. Morey,2020,2020-02-17,2020-05-05,"Phys. Rev. D 101, 104009 (2020)",gr-qc,gr-qc,,https://arxiv.org/abs/2002.07251,https://arxiv.org/pdf/2002.07251,QNM EP / spectral instability / VAM-TTM,spectral_instability;ringdown_interpretation,讨论 QNM 频率本身与时间域响应之间的关系，作为谱不稳定解释的早期警示背景。,帮助避免把谱点漂移直接等同于可观测 ringdown 偏移。,candidate,C,no,补充背景；不是 EP 主线。
2004.06434,Pseudospectrum and black hole quasi-normal mode (in)stability,José Luis Jaramillo; Rodrigo Panosso Macedo; Lamis Al Sheikh,2020,2020-04-14,2021-09-14,"Phys. Rev. X 11, 031003 (2021)",gr-qc,gr-qc;hep-th;math-ph,,https://arxiv.org/abs/2004.06434,https://arxiv.org/pdf/2004.06434,QNM EP / spectral instability / VAM-TTM,pseudospectrum;non_self_adjoint_operator;spectral_instability,把黑洞 QNM 写成非自伴算子的谱问题，用 pseudospectrum 量化谱稳定性。,本方向的数学基础；后续 EP/TTM 稳定性判断都依赖这套语言。,selected,A,no,主线基础文献。
2107.09673,Pseudospectrum of Reissner-Nordström black holes: quasinormal mode instability and universality,Kyriakos Destounis; Rodrigo Panosso Macedo; Emanuele Berti; Vitor Cardoso; José Luis Jaramillo,2021,2021-07-20,2021-10-26,"Phys. Rev. D 104, 084091 (2021)",gr-qc,gr-qc;math-ph,,https://arxiv.org/abs/2107.09673,https://arxiv.org/pdf/2107.09673,QNM EP / spectral instability / VAM-TTM,pseudospectrum;charged_black_hole;spectral_instability,把 pseudospectrum 方法推广到 RN 黑洞并讨论谱不稳定的普适性。,未来若比较带电或 regular black hole 背景，可作为方法参照。,selected,B,no,主线基础文献；与 EP 不是一一对应关系。
2308.16227,"Black-hole spectroscopy: quasinormal modes, ringdown stability and the pseudospectrum",Kyriakos Destounis; Francisco Duque,2023,2023-08-30,2024-07-21,"Compact Objects in the Universe (2024), DOI 10.1007/978-3-031-55098-0_6",gr-qc,gr-qc;astro-ph.HE;hep-th;math-ph,,https://arxiv.org/abs/2308.16227,https://arxiv.org/pdf/2308.16227,QNM EP / spectral instability / VAM-TTM,review;black_hole_spectroscopy;pseudospectrum,综述黑洞光谱学、ringdown 稳定性和 pseudospectrum 的连接。,作为快速补背景和查旧文献链条的入口。,candidate,B,no,补充综述；用于整理谱不稳定历史。
2404.01374,On the physical significance of black hole quasinormal mode spectra instability,Vitor Cardoso; Shilpa Kastha; Rodrigo Panosso Macedo,2024,2024-04-01,2024-04-01,,gr-qc,gr-qc,,https://arxiv.org/abs/2404.01374,https://arxiv.org/pdf/2404.01374,QNM EP / spectral instability / VAM-TTM,physical_significance;spectral_instability;observability,讨论谱不稳定在物理上何时重要，区分谱点变化和可观测信号变化。,对判断 EP/VAM/TTM 是否影响实际 ringdown 模型很关键。,selected,A,no,补充但重要；建议和 pseudospectrum 文献一起读。
2407.15191,Resonant Excitation of Quasinormal Modes of Black Holes,Hayato Motohashi,2024,2024-07-21,2025-04-08,"Phys. Rev. Lett. 134, 141401 (2025)",gr-qc,gr-qc;astro-ph.HE;cond-mat.mes-hall;hep-th;physics.optics,,https://arxiv.org/abs/2407.15191,https://arxiv.org/pdf/2407.15191,QNM EP / spectral instability / VAM-TTM,exceptional_point;avoided_crossing;resonant_excitation;non_hermitian_physics,把 QNM avoided crossing 和 EP 附近的共振激发联系起来，用非厄米谱语言解释模式相互作用。,本方向第一篇优先读；建立 avoided crossing -> EP -> resonance 的直觉。,selected,A,no,用户指定主线文献。
2407.20850,Exceptional point and hysteresis in perturbations of Kerr black holes,João Paulo Cavalcante; Maurício Richartz; Bruno Carneiro da Cunha,2024,2024-07-30,2024-11-12,"Phys. Rev. Lett. 133, 261401 (2024)",gr-qc,gr-qc;astro-ph.HE;hep-th,,https://arxiv.org/abs/2407.20850,https://arxiv.org/pdf/2407.20850,QNM EP / spectral instability / VAM-TTM,kerr;exceptional_point;hysteresis;isomonodromy,在 Kerr massive scalar perturbations 中识别 EP 和绕行后的 hysteresis/几何相位。,把 EP 从玩具模型推进到 Kerr 参数空间，是额外检索到的关键文献。,selected,A,no,额外检索加入；需人工核对与 QNM branch labeling 的细节。
2503.21276,Unstable chords and destructive resonant excitation of black hole quasinormal modes,Naritaka Oshita; Emanuele Berti; Vitor Cardoso,2025,2025-03-27,2025-03-27,,gr-qc,gr-qc;astro-ph.CO;hep-th,,https://arxiv.org/abs/2503.21276,https://arxiv.org/pdf/2503.21276,QNM EP / spectral instability / VAM-TTM,potential_perturbation;avoided_crossing;exceptional_point;spectral_instability,研究势函数扰动下 QNM 展开的不稳定性，并涉及 Kerr/KdS 谱中的 avoided crossings 和 EP。,连接“谱不稳定是否会破坏 QNM 展开”和用户的 Kerr/KdS 相关材料。,selected,A,no,用户指定主线文献。
2504.06072,Black hole quasinormal mode resonances,Yiqiu Yang; Emanuele Berti; Nicola Franchini,2025,2025-04-08,2025-11-14,"Phys. Rev. Lett. 135, 201401 (2025)",gr-qc,gr-qc;astro-ph.HE,,https://arxiv.org/abs/2504.06072,https://arxiv.org/pdf/2504.06072,QNM EP / spectral instability / VAM-TTM,exceptional_point;riemann_surface;avoided_crossing;time_domain_signal,直接讨论 QNM 频率的 avoided crossings 和 EP，并把两条模式视为同一 Riemann surface 上的不同分支。,这是 QNM EP 框架的核心入口；应作为第二篇优先读。,selected,A,no,用户指定主线文献。
2507.11663,"Asymptotic quasinormal modes, echoes, and black hole spectral instability: a brief review",Shui-Fa Shen; Guan-Ru Li; Ramin G. Daghigh; Jodin C. Morey; Michael D. Green; Wei-Liang Qian; Rui-Hong Yue,2025,2025-07-15,2026-01-11,,gr-qc,gr-qc,,https://arxiv.org/abs/2507.11663,https://arxiv.org/pdf/2507.11663,QNM EP / spectral instability / VAM-TTM,review;asymptotic_qnm;echoes;spectral_instability,综述渐近 QNM、echoes 和谱不稳定的近期进展。,适合作为补充背景，帮助区分高阶 overtone、echo 和低阶 ringdown 的问题域。,candidate,B,no,额外检索加入；不是 EP 专门文献。
