arxiv_id,title,authors,year,published,updated,primary_category,categories,abstract,url,pdf_url,topic,technical_tags,technical_role,relevance,status,ai_rating,human_checked,notes,match_terms
gr-qc/9811091,Effective one-body approach to general relativistic two-body dynamics,A. Buonanno; T. Damour,1998,1998-11-26,,gr-qc,gr-qc;astro-ph,,https://arxiv.org/abs/gr-qc/9811091,https://arxiv.org/pdf/gr-qc/9811091,EOB,foundations_hamiltonian_pn_pm;nr_calibration_eobnr_seobnr_teobresums,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0001013,Transition from inspiral to plunge in binary black hole coalescences,Alessandra Buonanno; Thibault Damour,2000,2000-01-07,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0001013,https://arxiv.org/pdf/gr-qc/0001013,EOB,foundations_hamiltonian_pn_pm;nr_calibration_eobnr_seobnr_teobresums;data_analysis_lvkc,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=manual_eob_core,manual_eob_core
gr-qc/0005034,On the determination of the last stable orbit for circular general relativistic binaries at the third post-Newtonian approximation,Thibault Damour; Piotr Jaranowski; Gerhard Schaefer,2000,2000-05-10,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0005034,https://arxiv.org/pdf/gr-qc/0005034,EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;gsf_gauge_invariants,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0010009,A Comparison of search templates for gravitational waves from binary inspiral,Thibault Damour; Bala R. Iyer; B. S. Sathyaprakash,2000,2000-10-04,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0010009,https://arxiv.org/pdf/gr-qc/0010009,EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;data_analysis_lvkc,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0010104,Effective one-body approach to the relativistic two-body problem,P. P. Fiziev; I. T. Todorov,2000,2000-10-27,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0010104,https://arxiv.org/pdf/gr-qc/0010104,EOB,foundations_hamiltonian_pn_pm;nr_calibration_eobnr_seobnr_teobresums,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0103018,Coalescence of Two Spinning Black Holes: An Effective One-Body Approach,Thibault Damour,2001,2001-03-07,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0103018,https://arxiv.org/pdf/gr-qc/0103018,EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;spin_precession;data_analysis_lvkc,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0112056,Innermost circular orbit of binary black holes at the third post-Newtonian approximation,Luc Blanchet,2001,2001-12-21,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0112056,https://arxiv.org/pdf/gr-qc/0112056,EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;spin_precession,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0204011,Circular orbits of corotating binary black holes: comparison between analytical and numerical results,T. Damour; E. Gourgoulhon; P. Grandclement,2002,2002-04-03,,gr-qc,gr-qc;astro-ph,,https://arxiv.org/abs/gr-qc/0204011,https://arxiv.org/pdf/gr-qc/0204011,EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;spin_precession,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body;EOB,effective-one-body;EOB
gr-qc/0208089,Numerically generated quasi-equilibrium orbits of black holes: Circular or eccentric?,Thierry Mora; Clifford M. Will,2002,2002-08-29,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0208089,https://arxiv.org/pdf/gr-qc/0208089,EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;spin_precession;eccentric_hyperbolic_scattering,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0211041,Gravitational waves from black hole binary inspiral and merger: The span of third post-Newtonian effective-one-body templates,Thibault Damour; Bala R. Iyer; Piotr Jaranowski; B. S. Sathyaprakash,2002,2002-11-12,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0211041,https://arxiv.org/pdf/gr-qc/0211041,EOB,foundations_hamiltonian_pn_pm;nr_calibration_eobnr_seobnr_teobresums;data_analysis_lvkc,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body;EOB,effective-one-body;EOB
gr-qc/0508067,Transition from inspiral to plunge in precessing binaries of spinning black holes,Alessandra Buonanno; Yanbei Chen; Thibault Damour,2005,2005-08-16,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0508067,https://arxiv.org/pdf/gr-qc/0508067,EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;spin_precession,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0602117,Gravitational Recoil during Binary Black Hole Coalescence using the Effective One Body Approach,Thibault Damour; Achamveedu Gopakumar,2006,2006-02-28,,gr-qc,gr-qc;astro-ph,,https://arxiv.org/abs/gr-qc/0602117,https://arxiv.org/pdf/gr-qc/0602117,EOB,resummation_flux_waveform;spin_precession,resummation_flux_waveform,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0612096,Binary black hole merger in the extreme mass ratio limit,Alessandro Nagar; Thibault Damour; Angelo Tartaglia,2006,2006-12-15,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0612096,https://arxiv.org/pdf/gr-qc/0612096,EOB,foundations_hamiltonian_pn_pm;resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;emri_test_mass_teukolsky,foundations_hamiltonian_pn_pm,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body;EOB,effective-one-body;EOB
gr-qc/0612151,Binary black hole merger waveforms in the extreme mass ratio limit,Thibault Damour; Alessandro Nagar,2006,2006-12-23,,gr-qc,gr-qc,,https://arxiv.org/abs/gr-qc/0612151,https://arxiv.org/pdf/gr-qc/0612151,EOB,nr_calibration_eobnr_seobnr_teobresums;emri_test_mass_teukolsky,nr_calibration_eobnr_seobnr_teobresums,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body,effective-one-body
gr-qc/0702641,The Distribution of Recoil Velocities from Merging Black Holes,Jeremy D. Schnittman; Alessandra Buonanno,2007,2007-02-23,,astro-ph,astro-ph;gr-qc,,https://arxiv.org/abs/gr-qc/0702641,https://arxiv.org/pdf/gr-qc/0702641,EOB,resummation_flux_waveform;nr_calibration_eobnr_seobnr_teobresums;spin_precession,resummation_flux_waveform,candidate; needs human triage,candidate,X,no,preserved from data/eob_arxiv_candidates.csv; match_terms=effective-one-body;EOB,effective-one-body;EOB
