arxiv_id,title,authors,year,published,updated,journal,primary_category,categories,abstract,url,pdf_url,topic,technical_tags,technical_role,relevance,status,ai_rating,human_checked,notes
2004.06434,Pseudospectrum and black hole quasi-normal mode (in)stability,José Luis Jaramillo; Rodrigo Panosso Macedo; Lamis Al Sheikh,2020,2020-04-14,2021-09-14,"Phys. Rev. X 11, 031003 (2021)",gr-qc,gr-qc;hep-th;math-ph,,https://arxiv.org/abs/2004.06434,https://arxiv.org/pdf/2004.06434,QNM EP / spectral instability / VAM-TTM,pseudospectrum;non_self_adjoint_operator;spectral_instability,黑洞 QNM pseudospectrum 方法的基础。,后续谱稳定性和 EP 数值可信度判断的底层语言。,selected,A,no,先读基础部分和算子设定。
2407.15191,Resonant Excitation of Quasinormal Modes of Black Holes,Hayato Motohashi,2024,2024-07-21,2025-04-08,"Phys. Rev. Lett. 134, 141401 (2025)",gr-qc,gr-qc;astro-ph.HE;cond-mat.mes-hall;hep-th;physics.optics,,https://arxiv.org/abs/2407.15191,https://arxiv.org/pdf/2407.15191,QNM EP / spectral instability / VAM-TTM,exceptional_point;avoided_crossing;resonant_excitation,把 avoided crossing 解释成 EP 附近共振激发。,第一优先阅读。,selected,A,no,用户指定主线文献。
2504.06072,Black hole quasinormal mode resonances,Yiqiu Yang; Emanuele Berti; Nicola Franchini,2025,2025-04-08,2025-11-14,"Phys. Rev. Lett. 135, 201401 (2025)",gr-qc,gr-qc;astro-ph.HE,,https://arxiv.org/abs/2504.06072,https://arxiv.org/pdf/2504.06072,QNM EP / spectral instability / VAM-TTM,exceptional_point;riemann_surface;time_domain_signal,QNM EP/Riemann surface 框架的直接入口。,第二优先阅读。,selected,A,no,用户指定主线文献。
2512.06903,Quasinormal modes of Schwarzschild-de Sitter black holes in semi-open systems,Liang-Bi Wu; Libo Xie; Li-Ming Cao; Ming-Fei Ji; Yu-Sen Zhou,2025,2025-12-07,2026-02-26,,gr-qc,gr-qc,,https://arxiv.org/abs/2512.06903,https://arxiv.org/pdf/2512.06903,QNM EP / spectral instability / VAM-TTM,schwarzschild_de_sitter;semi_open_system;complex_reflectivity;puiseux_scaling,半开放 SdS 系统中的二阶 EP 和 Puiseux 标度。,用户当前 EP/SdS 线核心文献。,selected,A,no,第三优先阅读。
2512.02110,Exceptional Points and Resonance in Black Hole Ringdown,Rodrigo Panosso Macedo; Takuya Katagiri; Kei-ichiro Kubota; Hayato Motohashi,2025,2025-12-01,2026-05-15,"Phys. Rev. D 113, L121504 (2026)",gr-qc,gr-qc;astro-ph.HE;hep-th,,https://arxiv.org/abs/2512.02110,https://arxiv.org/pdf/2512.02110,QNM EP / spectral instability / VAM-TTM,exceptional_point;ringdown_modeling;hyperboloidal_framework,EP ringdown 建模框架，强调本征值与本征函数近合并。,用于理解标准 QNM 展开在 EP 附近的修正。,selected,A,no,用户指定主线文献。
2509.19451,Total absorption of tailored incoming signals by black holes,Furkan Tuncer; Vitor Cardoso; Rodrigo Panosso Macedo; Thomas F. M. Spieksma,2025,2025-09-23,2026-05-07,,gr-qc,gr-qc;astro-ph.HE;hep-th;physics.optics,,https://arxiv.org/abs/2509.19451,https://arxiv.org/pdf/2509.19451,QNM EP / spectral instability / VAM-TTM,virtual_absorption;total_transmission_mode;scattering,VAM/TTM 主线入口，讨论 tailored incoming signal 的 total absorption。,和 EP 不是同一个问题，但共享复频谱和非厄米边界条件语言。,selected,A,no,用户指定主线文献。
2512.16372,Pseudospectrum and (in)stability of black hole total transmission modes,Yu-Sen Zhou; Ming-Fei Ji; Liang-Bi Wu; Li-Ming Cao,2025,2025-12-18,2026-06-08,,gr-qc,gr-qc;hep-th,,https://arxiv.org/abs/2512.16372,https://arxiv.org/pdf/2512.16372,QNM EP / spectral instability / VAM-TTM,total_transmission_mode;pseudospectrum;condition_number,TTM 的 pseudospectrum 和 condition number 稳定性分析。,用于判断 VAM/TTM 谱根可信度。,selected,A,no,用户指定主线文献。
2603.22897,Virtual absorption modes of Schwarzschild-de Sitter spacetimes in semi-open systems,Liang-Bi Wu; Yu-Sen Zhou; Zhe Yu; Ming-Fei Jia; Li-Ming Cao,2026,2026-03-24,2026-03-24,,gr-qc,gr-qc,,https://arxiv.org/abs/2603.22897,https://arxiv.org/pdf/2603.22897,QNM EP / spectral instability / VAM-TTM,schwarzschild_de_sitter;virtual_absorption;semi_open_system,半开放 SdS 中的 VAM 研究。,与 2512.06903 属于同一 SdS 半开放系统路线。,selected,A,no,额外检索加入。
2407.20850,Exceptional point and hysteresis in perturbations of Kerr black holes,João Paulo Cavalcante; Maurício Richartz; Bruno Carneiro da Cunha,2024,2024-07-30,2024-11-12,"Phys. Rev. Lett. 133, 261401 (2024)",gr-qc,gr-qc;astro-ph.HE;hep-th,,https://arxiv.org/abs/2407.20850,https://arxiv.org/pdf/2407.20850,QNM EP / spectral instability / VAM-TTM,kerr;exceptional_point;hysteresis,在 Kerr massive scalar perturbations 中识别 EP 和 hysteresis。,补充 Kerr EP 背景，帮助判断 EP 是否背景依赖。,selected,A,no,额外检索加入。
2511.17067,Exceptional line and pseudospectrum in black hole spectroscopy,Li-Ming Cao; Ming-Fei Ji; Liang-Bi Wu; Yu-Sen Zhou,2025,2025-11-21,2026-06-04,,gr-qc,gr-qc;astro-ph.HE;quant-ph,,https://arxiv.org/abs/2511.17067,https://arxiv.org/pdf/2511.17067,QNM EP / spectral instability / VAM-TTM,exceptional_line;pseudospectrum;berry_phase,把 EP 扩展为参数空间中的 exceptional line 并分析 pseudospectrum 标度。,补充 EP 拓扑和稳定性诊断。,selected,A,no,额外检索加入。
